espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
564027,Cheshire Under-13s,Cheshire Under-13s,,,Cheshire Under-13s,
1259,Oxfordshire,Oxfordshire,Oxon,,Oxfordshire,Oxon
1955,Muslims,Muslims,,,Muslims,
509674,Sydney Thunder,Sydney Thunder,ST,https://a.espncdn.com/i/teamlogos/cricket/500/509674.png,Sydney Thunder,ST
1823,Railways,Railways,RLYS,https://a.espncdn.com/i/teamlogos/cricket/500/1823.png,Railways,RLYS
3172,Border Under-19s,Border Under-19s,Bor19,,Border Under-19s,Bor19
2482,Central Districts,Central Districts,CD,https://a.espncdn.com/i/teamlogos/cricket/500/2482.png,Central Districts,CD
3208,Eastern Province,Eastern Province,EPR,https://a.espncdn.com/i/teamlogos/cricket/500/3208.png,Eastern Province,EPR
424049,Bijapur Bulls,Bijapur Bulls,BIJA,https://a.espncdn.com/i/teamlogos/cricket/500/424049.png,Bijapur Bulls,BIJA
1004759,Kowloon Cantons,Kowloon Cantons,KC,,Kowloon Cantons,KC
410536,Bangladesh Cricket Board Green,Bangladesh Cricket Board Green,BCB-G,,Bangladesh Cricket Board Green,BCB-G
1313189,Tornadoes Women,Tornadoes Women,TOR,https://a.espncdn.com/i/teamlogos/cricket/500/1313189.png,Tornadoes Women,TOR
441435,Northamptonshire Under-17s,Northamptonshire Under-17s,,,Northamptonshire Under-17s,
89,World-XI,World-XI,World,,World-XI,World
1129424,Rising Zebras,Rising Zebras,RZ,,Rising Zebras,RZ
2904,Multan,Multan,Multn,,Multan,Multn
3169,Border B,Border B,,,Border B,
2142,Tamil Nadu Under-25s,Tamil Nadu Under-25s,,,Tamil Nadu Under-25s,
1146788,Supernovas,Supernovas,SNO,https://a.espncdn.com/i/teamlogos/cricket/500/1146788.png,Supernovas,SNO
560,Tasmania,Tasmania,TAS,https://a.espncdn.com/i/teamlogos/cricket/500/560.png,Tasmania,TAS
2569,Onslow,Onslow,,,Onslow,
2813,Karachi Zone VI Under-19s,Karachi Zone VI Under-19s,,,Karachi Zone VI Under-19s,
108,Lesotho,Lesotho,LES,https://a.espncdn.com/i/teamlogos/cricket/500/108.png,Lesotho,LES
299047,Singapore Women,Singapore Women,SIN-W,https://a.espncdn.com/i/teamlogos/cricket/500/299047.png,Singapore Women,SIN-W
2608,Wellington Women,Wellington Women,WEL-W,https://a.espncdn.com/i/teamlogos/cricket/500/2608.png,Wellington Women,WEL-W
215,Australian Aborigines,Australian Aborigines,,,Australian Aborigines,
2072,Saurashtra Under-16s,Saurashtra Under-16s,,,Saurashtra Under-16s,
3298,Rest of South Africa,Rest of South Africa,,,Rest of South Africa,
1701,Eastern Punjab,Eastern Punjab,,,Eastern Punjab,
308140,Colombo Cricket Club Women,Colombo Cricket Club Women,CCCWn,,Colombo Cricket Club Women,CCCWn
12,Bermuda,Bermuda,BER,https://a.espncdn.com/i/teamlogos/cricket/500/12.png,Bermuda,BER
789719,Zimbabwe Chairman's XI,Zimbabwe Chairman's XI,ZIMCH,,Zimbabwe Chairman's XI,ZIMCH
336539,Southern Stars,Southern Stars,Stars,,Southern Stars,Stars
3022,Punjab (Pakistan),Punjab (Pakistan),PNJB,,Punjab (Pakistan),PNJB
91,Indonesia,Indonesia,INA,https://a.espncdn.com/i/teamlogos/cricket/500/91.png,Indonesia,INA
3321,South African Schools,South African Schools,SASCH,,South African Schools,SASCH
1108862,Kochian Province,Kochian Province,KOCH,,Kochian Province,KOCH
1548,Andhra Women,Andhra Women,AP-W,https://a.espncdn.com/i/teamlogos/cricket/500/1548.png,Andhra Women,AP-W
471203,Worcestershire Under-13s,Worcestershire Under-13s,,,Worcestershire Under-13s,
2520,Northern Districts Under-19s,Northern Districts Under-19s,,,Northern Districts Under-19s,
597801,South Africa Schools XI,South Africa Schools XI,SASch,,South Africa Schools XI,SASch
521,South Australia Second XI,South Australia Second XI,SOA2,,South Australia Second XI,SOA2
220629,Little Sai Wan Cricket Club,Little Sai Wan Cricket Club,,,Little Sai Wan Cricket Club,
465,Queensland Country,Queensland Country,,,Queensland Country,
2300,Simba Union,Simba Union,,,Simba Union,
772,Denmark Under-17s,Denmark Under-17s,,,Denmark Under-17s,
711,Rajshahi Division,Rajshahi Division,RAJ,https://a.espncdn.com/i/teamlogos/cricket/500/711.png,Rajshahi Division,RAJ
769111,South West Region,South West Region,SWR,,South West Region,SWR
1090871,Vanuatu Women,Vanuatu Women,VAN-W,https://a.espncdn.com/i/teamlogos/cricket/500/1090871.png,Vanuatu Women,VAN-W
1190,Middlesex,Middlesex,MIDDX,https://a.espncdn.com/i/teamlogos/cricket/500/1190.png,Middlesex,MIDDX
34,France,France,Fran,https://a.espncdn.com/i/teamlogos/cricket/500/34.png,France,Fran
1298092,India Maharajas,India Maharajas,IM,https://a.espncdn.com/i/teamlogos/cricket/500/1298092.png,India Maharajas,IM
758,Cayman Islands Under-19s,Cayman Islands Under-19s,Cay19,https://a.espncdn.com/i/teamlogos/cricket/500/758.png,Cayman Islands Under-19s,Cay19
1799,Indian Right XI,Indian Right XI,,,Indian Right XI,
2917,City Nazim XI,City Nazim XI,,,City Nazim XI,
628333,Sunrisers Hyderabad,Sunrisers Hyderabad,SRH,https://a.espncdn.com/i/teamlogos/cricket/500/628333.png,Sunrisers Hyderabad,SRH
788729,Sussex Academy,Sussex Academy,SusAC,,Sussex Academy,SusAC
48481,Negombo Cricket Club,Negombo Cricket Club,NEGO,https://a.espncdn.com/i/teamlogos/cricket/500/48481.png,Negombo Cricket Club,NEGO
938823,Pakistan A Women,Pakistan A Women,PA-AW,,Pakistan A Women,PA-AW
3202,Knights,Knights,KNGHT,https://a.espncdn.com/i/teamlogos/cricket/500/3202.png,Knights,KNGHT
527516,Nairobi Buffaloes,Nairobi Buffaloes,,,Nairobi Buffaloes,
37,Oman,Oman,OMA,https://a.espncdn.com/i/teamlogos/cricket/500/37.png,Oman,OMA
1975,North and South Zones,North and South Zones,,,North and South Zones,
600,Victoria Women,Victoria Women,VIC-W,https://a.espncdn.com/i/teamlogos/cricket/500/600.png,Victoria Women,VIC-W
1829,Jammu & Kashmir Under-14s,Jammu & Kashmir Under-14s,,,Jammu & Kashmir Under-14s,
771,Denmark Under-15s,Denmark Under-15s,,,Denmark Under-15s,
1752,Himachal Pradesh,Himachal Pradesh,HP,https://a.espncdn.com/i/teamlogos/cricket/500/1752.png,Himachal Pradesh,HP
1603,Mumbai,Mumbai,MUM,https://a.espncdn.com/i/teamlogos/cricket/500/1603.png,Mumbai,MUM
3162,Boland Women,Boland Women,BolWm,https://a.espncdn.com/i/teamlogos/cricket/500/3162.png,Boland Women,BolWm
736,Flatt's Victoria Recreation Club,Flatt's Victoria Recreation Club,,,Flatt's Victoria Recreation Club,
1310204,Spain Women,Spain Women,ESP-W,https://a.espncdn.com/i/teamlogos/cricket/500/1310204.png,Spain Women,ESP-W
1034433,Surrey Stars,Surrey Stars,SS,,Surrey Stars,SS
745,Canada Under-15s,Canada Under-15s,Can15,,Canada Under-15s,Can15
916935,Shivamogga Lions,Shivamogga Lions,SHL,https://a.espncdn.com/i/teamlogos/cricket/500/916935.png,Shivamogga Lions,SHL
1485,France Under-19s,France Under-19s,FRA19,https://a.espncdn.com/i/teamlogos/cricket/500/1485.png,France Under-19s,FRA19
572,Toombul,Toombul,,,Toombul,
1034,Gloucestershire,Gloucestershire,GLOUC,https://a.espncdn.com/i/teamlogos/cricket/500/1034.png,Gloucestershire,GLOUC
