id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
ea56e843,Unknown,N Revers,N Revers,Right-hand bat,Left-arm medium,0.8,7
5abb0f07,Unknown,TAW Patterson,TAW Patterson,Left-hand bat,Right-arm offbreak,-1.5,7
82340b9d,Bowler,TJ Stephenson,TJ Stephenson,Right-hand bat,Right-arm offbreak,12.5,7
df3438ae,Unknown,TW Samuels,TW Samuels,Right-hand bat,Right-arm medium-fast,0,7
df0b356d,Unknown,W Banner,W Banner,,,2.857142857,7
071e0f50,Unknown,WC Broaster,WC Broaster,Right-hand bat,Right-arm medium-fast,,7
f86ce673,Unknown,AC Douglas,AC Douglas,Right-hand bat,,14.16393443,7
9d65b06f,Bowler,ADJ Pitcher,ADJ Pitcher,Right-hand bat,Right-arm medium-fast,4,7
8ffe3c97,Unknown,AR Pitcher,AR Pitcher,Left-hand bat,,13.75,7
59dcf322,Allrounder,BJ Hall,BJ Hall,Right-hand bat,Right-arm slow-medium,17.2,7
140ac7ad,Unknown,Amari Ebbin,Amari Ebbin,,,5,7
a38c6037,Unknown,CAW Jeffers,CAW Jeffers,Right-hand bat,Legbreak googly,10.875,7
d8c6111c,Unknown,C Burgess,C Burgess,Left-hand bat,,9.692307692,7
4e1b7998,Unknown,Chare Smith,Chare Smith,,,27.25,7
3a9adcce,Batter,CJ Smith,CJ Smith,Right-hand bat,Right-arm offbreak,3.5,7
ff722bc8,Unknown,C Outerbridge,C Outerbridge,Right-hand bat,Left-arm fast-medium,22.63333333,7
3e722460,Batter,CR Foggo,CR Foggo,Right-hand bat,,7.363636364,7
02a6cb16,Opening batter,CRM Douglas,CRM Douglas,Left-hand bat,Right-arm offbreak,5.875,7
ae624b05,Unknown,C Trott,C Trott,Left-hand bat,Left-arm medium-fast,9.966666667,7
49212b50,Wicketkeeper,DA Minors,DA Minors,Left-hand bat,,12.15,7
56f53516,Middle-order batter,DAP Darrell,DAP Darrell,Right-hand bat,Right-arm medium,6.631578947,7
80063018,Middle-order batter,DAW Hollis,DAW Hollis,Right-hand bat,,4.090909091,7
7f6c2dae,Unknown,DC Stovell,DC Stovell,Right-hand bat,Right-arm offbreak,17.43617021,7
359e430a,Batter,DCC Borden,DCC Borden,Left-hand bat,Right-arm offbreak,7.666666667,7
90a1a14c,Unknown,DDE Richardson,DDE Richardson,Right-hand bat,Right-arm medium,3,7
dab18aa5,Unknown,DL Brangman,DL Brangman,Left-hand bat,Slow left-arm orthodox,21.81395349,7
cb263798,Opening batter,DL Hemp,DL Hemp,Left-hand bat,Right-arm medium,18.17241379,7
f1eb3c73,Batting allrounder,DMW Rawlins,DMW Rawlins,Left-hand bat,Slow left-arm orthodox,23.71746032,7
04bc296f,Unknown,D Sabir,D Sabir,Right-hand bat,,10.57692308,7
f6f19302,Unknown,D Talbot,D Talbot,Right-hand bat,Right-arm offbreak,9.8,7
a428109a,Unknown,Emmerson Carrington,Emmerson Carrington,,,,7
daab3d80,Opening batter,DWO Morgan,DWO Morgan,Right-hand bat,,,8
e932483d,Opening batter,FS Crockwell,FS Crockwell,Right-hand bat,,5.909090909,7
310dbd9a,Middle-order batter,GH Maybury,GH Maybury,Left-hand bat,Right-arm medium-fast,13.27272727,7
6705008a,Bowler,H Durham,H Durham,Right-hand bat,Slow left-arm orthodox,27.33333333,7
