id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
4846ef98,Bowler,Abdullah Mazari,Abdullah Mazari,Left-hand bat,Slow left-arm orthodox,,7
be7d715b,Allrounder,Abdul Wasi,Abdul Wasi,Right-hand bat,Legbreak,,6
9ca68676,Bowler,AM Ghazanfar,AM Ghazanfar,Right-hand bat,Right-arm offbreak,,6
5fd762d5,Bowler,Abdul Rahman,Abdul Rahman Rahmani,Right-hand bat,Right-arm fast-medium,,6
b3218c80,Opening batter,Abdul Malik,Abdul Malik,Right-hand bat,Right-arm offbreak,,8
af23265a,Unknown,Ahmed Shah Durrani,Ahmed Shah Durrani,,,,8
50930025,Wicketkeeper batter,Afsar Zazai,Afsar Zazai,Right-hand bat,,,6
2a3a3786,Bowler,Aftab Alam,Aftab Alam,Right-hand bat,Right-arm medium-fast,12.5,7
43602937,Unknown,Ahmed Shah Pakteen,Ahmed Shah Pakteen,,,,8
63500b26,Opening batter,Ahmed Shah,Ahmed Shah,Left-hand bat,Slow left-arm orthodox,4.166666667,7
dca1ac2e,Bowling allrounder,Amir Hamza,Amir Hamza,Right-hand bat,Slow left-arm orthodox,13.66666667,7
88679525,Middle-order batter,Asghar Stanikzai,Asghar Stanikzai,Right-hand bat,Right-arm medium-fast,,6
8f6dd463,Allrounder,Azmatullah Omarzai,Azmatullah Omarzai,Right-hand bat,Right-arm medium-fast,16.1097561,7
cae815a0,Unknown,Bismillah Shinwari,Bismillah Shinwari,,,,7
3b2114a5,Top-order batter,Darwish Rasooli,Darwish Rasooli,Right-hand bat,Right-arm offbreak,5.923076923,7
0439b7fb,Top-order batter,Bahir Shah,Bahir Shah,Right-hand bat,Right-arm offbreak,,6
80f81038,Bowler,Dawlat Ahmadzai,Dawlat Ahmadzai,Right-hand bat,Right-arm fast-medium,,8
1fba2ae3,Bowler,Dawlat Zadran,Dawlat Zadran,Right-hand bat,Right-arm fast-medium,,8
67b7bad4,Bowler,Fareed Ahmad,Fareed Ahmad,Left-hand bat,Left-arm fast-medium,,8
c1d0caa5,Unknown,Farooq Khan,Farooq Khan,,,,7
e9c7f0d0,Bowler,Fazalhaq Farooqi,Fazalhaq Farooqi,Right-hand bat,Left-arm fast-medium,18.96396396,7
0f2bcbe3,Unknown,Fazal Zazai,Fazal Zazai,Right-hand bat,Right-arm offbreak,,7
7c7fe471,Unknown,Fitratullah Khawari,Fitratullah Khawari,,,,6
f82540a3,Unknown,Hamim Khan,Hamim Khan,Right-hand bat,Right-arm medium,,6
0dd86d5f,Unknown,Fazal Niazai,Fazal Niazai,Right-hand bat,Right-arm medium,,8
c2a46cb4,Top-order batter,Hashmatullah Shahidi,Hashmatullah Shahidi,Left-hand bat,Right-arm offbreak,,7
9f77963a,Batting allrounder,Gulbadin Naib,Gulbadin Naib,Right-hand bat,Right-arm medium-fast,2.545454545,7
500759b6,Bowler,Hasti Gul,Hasti Gul,Right-hand bat,Right-arm medium,,6
093ae70b,Bowler,Hamid Hassan,Hamid Hassan,Right-hand bat,Right-arm fast,28.2,7
5ea51c25,Opening batter,Hazratullah,Hazratullah,Left-hand bat,Slow left-arm orthodox,10.25,7
d4550956,Opening batter,Ibrahim Zadran,Ibrahim Zadran,Right-hand bat,Right-arm medium-fast,2.666666667,7
4d4dbd57,Allrounder,Ijaz Ahmad Ahmadzai,Ijaz Ahmad Ahmadzai,Right-hand bat,Right-arm medium,,8
f67c958d,Wicketkeeper batter,Ikram Alikhil,Ikram Alikhil,Left-hand bat,,,8
7b663212,Unknown,Imran Janat,Imran Janat,Right-hand bat,Right-arm offbreak,,7
2cbdd22f,Bowler,Izharulhaq Naveed,Izharulhaq Naveed,Right-hand bat,Legbreak,10.46153846,7
0087a35d,Top-order batter,Javed Ahmadi,Javed Ahmadi,Right-hand bat,Right-arm offbreak,,7
62175638,Bowling allrounder,Karim Janat,Karim Janat,Right-hand bat,Right-arm medium,14.32608696,7
13e5908b,Opening batter,Karim Sadiq,Karim Sadiq,Right-hand bat,Right-arm offbreak,,6
5aeab54c,Top-order batter,Ihsanullah,Ihsanullah,Right-hand bat,,23.125,7
0429e73e,Unknown,Izatullah Safi,Izatullah Safi,,,,7
8549aaf0,Bowler,Khaliq Dad,Khaliq Dad,Right-hand bat,Right-arm fast-medium,,7
d8ff8121,Unknown,Mahmood Kharoti,Mahmood Kharoti,,,,7
cecfd092,Bowler,M Nasim Baras,M Nasim Baras,Left-hand bat,Slow left-arm orthodox,,7
bdd985f2,Bowler,Mirwais Ashraf,Mirwais Ashraf,Right-hand bat,Right-arm fast-medium,,6
32de4eae,Wicketkeeper batter,Mohammad Ishaq,Mohammad Ishaq,Right-hand bat,,,6
d6dcb0c9,Wicketkeeper batter,Mohammad Shahzad,Mohammad Shahzad,Right-hand bat,,22.30508475,7
938bff19,Bowler,Mohammad Saleem,Mohammad Saleem,Right-hand bat,Right-arm fast,,6
8.00E+160,Unknown,Mohammad Mujtaba,Mohammad Mujtaba,Left-hand bat,Slow left-arm orthodox,,7
dc6ed43e,Unknown,Mohammad Sardar,Mohammad Sardar,Right-hand bat,,,8
694dc2aa,Batter,Mohibullah Oryakhel,Mohibullah Oryakhel,Right-hand bat,Right-arm medium,,8
83fd5a46,Unknown,Muhammad Sabir,Muhammad Sabir,,,,8
7d92277a,Bowler,Mujeeb Ur Rahman,Mujeeb Ur Rahman,Right-hand bat,Right-arm offbreak,15.97050938,7
ac8877ed,Unknown,Muslim Musa,Muslim Musa,Right-hand bat,Right-arm medium,,7
2683e28b,Opening batter,Najeeb Tarakai,Najeeb Tarakai,Right-hand bat,Right-arm offbreak,,7
ec02c853,Wicketkeeper batter,Munir Ahmad,Munir Ahmad,Right-hand bat,,,6
1212cbec,Middle-order batter,Najibullah Zadran,Najibullah Zadran,Left-hand bat,Right-arm offbreak,6.688888889,7
75b8e198,Allrounder,Nangeyalia Kharote,Nangeyalia Kharote,Left-hand bat,Slow left-arm orthodox,,6
b430ec8c,Middle-order batter,Nasir Jamal,Nasir Jamal,,,,6
e6b6d352,Bowler,Naveed Zadran,Naveed Zadran,Right-hand bat,Right-arm medium,,8
54b516fa,Unknown,Nasir Totakhil,Nasir Totakhil,Left-hand bat,Slow left-arm orthodox,,8
c0c411cb,Bowler,Naveen-ul-Haq,Naveen-ul-Haq,Right-hand bat,Right-arm medium-fast,18.6097561,7
0503ae22,Top-order batter,Nawroz Mangal,Nawroz Mangal,Right-hand bat,Right-arm offbreak,,6
72e46d30,Opening batter,Noor Ali Zadran,Noor Ali Zadran,Right-hand bat,Right-arm medium-fast,,6
efc04be7,Bowler,Noor Ahmad,Noor Ahmad,Right-hand bat,Left-arm wrist-spin,18.26815642,7
8d5d991e,Bowler,Qais Ahmad,Qais Ahmad,Right-hand bat,Legbreak,16.74058577,7
a1bf281e,Bowler,Nijat Masood,Nijat Masood,Right-hand bat,Right-arm medium,,8
f90904e4,Unknown,Qaseem Khan,Qaseem Khan,Right-hand bat,,,8
cffce71d,Middle-order batter,Raees Ahmadzai,Raees Ahmadzai,Right-hand bat,Right-arm offbreak,,8
2b46d4de,Middle-order batter,Noor-ul-Haq,Noor-ul-Haq,Right-hand bat,Legbreak,,7
0bacade8,Wicketkeeper batter,Rahmanullah Gurbaz,Rahmanullah Gurbaz,Right-hand bat,Right-arm medium,7.775862069,7
f9c29fcd,Allrounder,Rahmat Shah,Rahmat Shah,Right-hand bat,Legbreak googly,,6
c595b5d9,Unknown,Rahmatullah Sahaq,Rahmatullah Sahaq,Right-hand bat,,,8
5f547c8b,Bowling allrounder,Rashid Khan,Rashid Khan,Right-hand bat,Legbreak googly,21.7042641,7
33f8789e,Batter,Riaz Hassan,Riaz Hassan,Right-hand bat,,,8
a35849be,Bowler,Rokhan Barakzai,Rokhan Barakzai,Left-hand bat,Slow left-arm orthodox,,8
3c28853f,Opening batter,Sediqullah Atal,Sediqullah Atal,Left-hand bat,,,7
61646132,Allrounder,Samiullah Shenwari,Samiullah Shenwari,Right-hand bat,Legbreak,2.631578947,7
5e71fa21,Top-order batter,Shabir Noori,Shabir Noori,Right-hand bat,Right-arm offbreak,,7
0ec1f412,Bowler,Sayed Shirzad,Sayed Shirzad,Right-hand bat,Left-arm medium,,6
98920db3,Unknown,Samiullah,Samiullah,Right-hand bat,Right-arm fast-medium,,8
98d7059f,Unknown,Shafiqullah Ghafari,Shafiqullah Ghafari,Right-hand bat,Legbreak googly,14.5,7
ba4d600a,Wicketkeeper batter,Shafiqullah,Shafiqullah,Right-hand bat,,8.285714286,7
82b90140,Batting allrounder,Shahidullah,Shahidullah,Left-hand bat,Slow left-arm orthodox,,8
5ab08739,Middle-order batter,Shawkat Zaman,Shawkat Zaman,Right-hand bat,Right-arm offbreak,,7
d11d472e,Allrounder,Tahir Khan,Tahir Khan,Right-hand bat,Right-arm offbreak,,6
f407bb3a,Unknown,Usman Adil,Usman Adil,Right-hand bat,Right-arm medium,,8
6b68d7b3,Bowler,Wafadar Momand,Wafadar Momand,Right-hand bat,Right-arm medium,,7
3f1066d0,Bowler,Waqar Salamkheil,Waqar Salamkheil,Right-hand bat,Left-arm wrist-spin,18.86486486,7
2058d48d,Unknown,Waheedullah Shafaq,Waheedullah Shafaq,Right-hand bat,,,6
e3829b2a,Opening batter,Usman Ghani,Usman Ghani,Right-hand bat,,2.666666667,7
87673f3f,Unknown,Younas Ahmadzai,Younas Ahmadzai,Right-hand bat,Right-arm offbreak,,8
6e4588bc,Bowler,Yamin Ahmadzai,Yamin Ahmadzai,Right-hand bat,Right-arm medium-fast,,8
e6c04d3f,Bowler,Yousuf Zazai,Yousuf Zazai,Right-hand bat,Right-arm medium-fast,,8
786b7fe8,Bowler,Zahir Khan,Zahir Khan,Left-hand bat,Left-arm wrist-spin,15.34814815,7
66272dc4,Unknown,Ziaur Rahman,Ziaur Rahman (2),Right-hand bat,Right-arm medium-fast,,7
21d46f15,Bowler,Zamir Khan,Zamir Khan,Left-hand bat,Slow left-arm orthodox,,7
fda22a2e,Bowling allrounder,Zia-ur-Rehman,Zia-ur-Rehman,Right-hand bat,Slow left-arm orthodox,1,7
1fa08c73,Unknown,Zahir Shehzad,Zahir Shehzad,Left-hand bat,Slow left-arm orthodox,,8
76a582b8,Bowler,Zakiullah Zaki,Zakiullah Zaki,Right-hand bat,Legbreak,,6
a18d14c7,Batting allrounder,Zubaid Akbari,Zubaid Akbari,Left-hand bat,Slow left-arm orthodox,,7
1911dcbc,Unknown,AAP Rivero,AAP Rivero,Right-hand bat,Right-arm medium,10.1875,7
24403a9f,Unknown,A Emch,A Emch,Right-hand bat,Right-arm medium,1.5,7
4a8d1b14,Unknown,A Ferguson,A Ferguson,Right-hand bat,,10.08695652,7
ad5165c2,Unknown,A Galan,A Galan,Right-hand bat,Right-arm medium-fast,16.20833333,7
034d3c52,Unknown,A Husain,A Husain,Right-hand bat,Right-arm offbreak,14.35294118,7
a796e302,Unknown,AL Casime,AL Casime,Right-hand bat,Right-arm fast-medium,10.5,7
a4571ba9,Unknown,A Mustafa,A Mustafa,Right-hand bat,,0,7
1d23ed3a,Unknown,AG Dugmore,AG Dugmore,Right-hand bat,,22.55555556,7
d953bf92,Batting allrounder,A Kirschbaum,A Kirschbaum,Right-hand bat,Right-arm offbreak,11.53846154,7
da994dd7,Unknown,A Prince,A Prince,Right-hand bat,Right-arm medium,5.538461538,7
c999c416,Unknown,A Stocks,A Stocks,Right-hand bat,Right-arm medium,18.4,7
3cdab0cc,Middle-order batter,B Angeltti,B Angeltti,Right-hand bat,Right-arm offbreak,0,7
e181d2b1,Unknown,A Tissera,A Tissera,Right-hand bat,Right-arm medium-fast,34.33333333,8
f758a37b,Unknown,CA Greloni,CA Greloni,,,0,7
25f41078,Unknown,C Gibson,C Gibson,Right-hand bat,,10.5,7
17bcec2a,Unknown,D Forrester,D Forrester,Right-hand bat,Right-arm offbreak,7.863636364,7
6be8fb20,Unknown,DM Lord,DM Lord,Right-hand bat,Right-arm medium-fast,16.5,7
b2f4cb0d,Unknown,C Sosa,C Sosa,Right-hand bat,Right-arm medium-fast,12.86956522,7
5f0f398d,Unknown,D Mauro,D Mauro,Left-hand bat,Right-arm medium,2,7
924ab6c4,Unknown,EA MacDermott,EA MacDermott,Right-hand bat,Right-arm offbreak,9.733333333,7
ccd38b40,Unknown,Francesca Galan,Francesca Galan,Right-hand bat,Left-arm medium,16.5,7
3f11dbff,Unknown,EM Nino,EM Nino,Right-hand bat,Right-arm medium-fast,8,7
2f0fa698,Unknown,GJ Savage,GJ Savage,Right-hand bat,Right-arm medium-fast,14.38461538,7
6d6f52fc,Unknown,Guido Angeletti,Guido Angeletti,Right-hand bat,Right-arm medium,27.8,7
0d38ab25,Unknown,H Fennell,H Fennell,Right-hand bat,Right-arm medium,24.84615385,7
9f236a73,Unknown,Ian Roberts,Ian Roberts,Right-hand bat,Slow left-arm orthodox,0,7
22595a2d,Unknown,JC Cullen,JC Cullen,Right-hand bat,Right-arm medium-fast,4.722222222,7
a1aeb715,Unknown,J Hurley,J Hurley,Right-hand bat,Slow left-arm orthodox,22.5,7
efbd35a9,Unknown,LA Musiani,LA Musiani,Right-hand bat,Legbreak,5.866666667,7
289a1cf1,Unknown,L Iglesias,L Iglesias,Right-hand bat,Right-arm medium-fast,-1,7
8af91a3e,Unknown,L Taylor,L Taylor,Right-hand bat,Right-arm medium-fast,10.91666667,7
66c898ab,Unknown,LM Paterlini,LM Paterlini,Right-hand bat,Right-arm medium-fast,13.07142857,7
2064e555,Unknown,Lucas Rossi,Lucas Rossi,Right-hand bat,Legbreak,38.2,8
de18edc1,Unknown,Martina Quinn,Martina Quinn,Right-hand bat,Right-arm medium,3,7
b9094958,Unknown,M Castineiras,M Castineiras,Right-hand bat,Right-arm medium-fast,25.44444444,7
bddbf5ec,Unknown,Manuel Iturbe,Manuel Iturbe,Right-hand bat,,0,7
9a14a211,Unknown,M Esquivel,M Esquivel,Right-hand bat,,-1,7
9a7d3339,Unknown,M del Valle,M del Valle,Right-hand bat,Right-arm medium,,6
75a8844e,Unknown,MJ Paterlini,MJ Paterlini,Right-hand bat,Right-arm medium,7.933333333,7
e6d1f4bb,Unknown,M Lollo,M Lollo,Right-hand bat,Left-arm medium-fast,2.666666667,7
f0ddeafb,Unknown,M Martinez,M Martinez,Right-hand bat,Right-arm medium-fast,8.72972973,7
b29923b6,Unknown,N Patron Fuentes,N Patron Fuentes,Right-hand bat,,-0.222222222,7
c6d1b1e4,Unknown,P Baron,P Baron,Right-hand bat,,4.769230769,7
24076663,Unknown,Oliver Rowe,Oliver Rowe,Right-hand bat,Right-arm medium,15.5,7
79e754db,Bowler,P Arrighi,P Arrighi,Right-hand bat,Right-arm medium,21.66666667,7
94c0131e,Unknown,PM Ryan,PM Ryan,Right-hand bat,Right-arm fast-medium,37.6,8
4ed0bf6a,Middle-order batter,PL Bruno,PL Bruno,Right-hand bat,Right-arm medium-fast,0,7
9fa5496f,Unknown,R Escobar,R Escobar,Right-hand bat,,5.5,7
c7c386c6,Unknown,P Ferguson,P Ferguson,Right-hand bat,Right-arm offbreak,2.6,7
f1737607,Unknown,RM Siri,RM Siri,Right-hand bat,,10.25,7
6876264c,Unknown,Santiago Duggan,Santiago Duggan,,,3.5,7
851b0636,Unknown,Santiago Iturbe,Santiago Iturbe,Right-hand bat,,12,7
4385b7cc,Unknown,S Bruno,S Bruno,,,,6
56544f81,Bowler,S Rossi,S Rossi,Right-hand bat,Right-arm medium-fast,14.33333333,7
7a640d66,Unknown,T Basile,T Basile,Right-hand bat,Right-arm medium-fast,20.57142857,7
907ee78d,Unknown,T Francis,T Francis,Right-hand bat,,9.5,7
5470418a,Unknown,T Rossi,T Rossi,Right-hand bat,Right-arm medium-fast,17.84615385,7
f898a2c6,Unknown,V Vasquez,V Vasquez,Right-hand bat,Right-arm medium,11.61111111,7
c7a9ffbf,Unknown,AA Bevilaqua,AA Bevilaqua,,,39.66666667,8
8fa8c6e2,Unknown,AA Mailey,AA Mailey,Right-hand bat,Legbreak googly,,8
edb3df84,Bowler,AA Mallett,AA Mallett,Right-hand bat,Right-arm offbreak,,7
b69e69ed,Allrounder,AA Noffke,AA Noffke,Right-hand bat,Right-arm fast-medium,28.66666667,8
a09eb585,Unknown,A Ayre,A Ayre,Left-hand bat,,-1,7
414c497b,Unknown,AB Holder,AB Holder,Right-hand bat,Right-arm fast,43,8
8a3c4af3,Unknown,AB Perrin,AB Perrin,Right-hand bat,Right-arm fast-medium,,7
16043342,Allrounder,AB McDonald,AB McDonald,Right-hand bat,Right-arm fast-medium,25.1369863,7
4f62e07f,Unknown,A Barty,A Barty,,,0,7
a2421394,Bowler,AC Agar,AC Agar,Left-hand bat,Slow left-arm orthodox,22.19733925,7
1efb8a28,Batter,AC Blizzard,AC Blizzard,Left-hand bat,Left-arm medium,14.43283582,7
8a6c2263,Unknown,AC Bannerman,AC Bannerman,Right-hand bat,,,6
1c7fa06c,Bowler,AC Dale,AC Dale,Left-hand bat,Right-arm fast-medium,,8
2b6e6dec,Wicketkeeper batter,AC Gilchrist,AC Gilchrist,Left-hand bat,Right-arm offbreak,30.44040404,8
956887b2,Bowler,AC McDermott,AC McDermott,Right-hand bat,Right-arm fast-medium,21.68965517,7
6574768e,Unknown,A Coningham,A Coningham,Left-hand bat,Left-arm fast-medium,,7
ddae3cd2,Unknown,AC Smith,Asha Smith,Right-hand bat,,,8
06face31,Unknown,A Cotter,A Cotter,Right-hand bat,Right-arm fast,,6
864c199e,Top-order batter,AC Voges,AC Voges,Right-hand bat,Slow left-arm orthodox,21.65070423,7
56ba45bd,Unknown,AD Ogilvie,AD Ogilvie,Right-hand bat,,,7
1b0a9d66,Opening batter,A Day,A Day,Right-hand bat,Legbreak googly,3.666666667,7
f68ea742,Unknown,A Dolin,A Dolin,,,,6
9040730,Unknown,AD Willoughby,AD Willoughby,Left-hand bat,Legbreak,,8
b2022171,Unknown,AEV Hartkopf,AEV Hartkopf,Right-hand bat,Legbreak,,7
5d857fee,Unknown,AF Kippax,AF Kippax,Right-hand bat,Legbreak,,8
bc969efb,Allrounder,A Gardner,A Gardner,Right-hand bat,Right-arm offbreak,22.11269276,7
ff4df902,Unknown,AG Chipperfield,AG Chipperfield,Right-hand bat,Legbreak,,6
52b45daa,Unknown,A Genford,A Genford,Right-hand bat,Right-arm medium-fast,2.47826087,7
564523c4,Unknown,AG Fairfax,AG Fairfax,Right-hand bat,Right-arm fast-medium,,7
cf4e0e15,Unknown,AG Harriott,AG Harriott,Right-hand bat,,26,7
ad7945c6,Unknown,AG Hurst,AG Hurst,Right-hand bat,Right-arm fast,,6
21863356,Unknown,AH Jarvis,AH Jarvis,Right-hand bat,,,8
a63ceba6,Unknown,Ahmad Khan,Ahmad Khan,,,,6
0a7f49f5,Unknown,A Hurwood,A Hurwood,,,,6
88aa3db2,Bowler,AIC Dodemaide,AIC Dodemaide,Right-hand bat,Right-arm fast-medium,,6
fb0d68b4,Middle-order batter,AI Ross,AI Ross,Right-hand bat,Right-arm offbreak,10.58695652,7
a67aa9df,Unknown,AJ Barrow,AJ Barrow,,,,8
45813bab,Unknown,A Jain,Arjan Jain,,,,6
3cf83487,Bowler,AJ Bichel,AJ Bichel,Right-hand bat,Right-arm fast-medium,34.51851852,8
0c8836b6,Middle-order batter,AJ Crosthwaite,AJ Crosthwaite,Right-hand bat,Legbreak googly,11.41666667,7
b9164a9b,Allrounder,AJ Blackwell,AJ Blackwell,Right-hand bat,Right-arm medium,14.92537313,7
de966ed3,Unknown,A Jackson,A Jackson,Right-hand bat,Right-arm offbreak,,8
36eafb02,Top-order batter,AJ Doolan,AJ Doolan,Right-hand bat,,26.21505376,7
b8d490fd,Top-order batter,AJ Finch,AJ Finch,Right-hand bat,Slow left-arm orthodox,20.99802176,7
f64ff7e7,Unknown,AJ Gregory,AJ Gregory,Right-hand bat,Right-arm fast-medium,,6
321644de,Wicketkeeper batter,AJ Healy,AJ Healy,Right-hand bat,,21.23714286,7
4ba2c04d,Bowler,AJ Nair,AJ Nair,Right-hand bat,Right-arm offbreak,10.78651685,7
68736e1a,Unknown,AJ Richardson,AJ Richardson,Right-hand bat,,,8
284d6015,Unknown,AJ Sammartino,AJ Sammartino,,,,7
ff1e12a0,Middle-order batter,AJ Turner,AJ Turner,Right-hand bat,Right-arm offbreak,11.84432718,7
7c7d63a2,Bowler,AJ Tye,AJ Tye,Right-hand bat,Right-arm medium-fast,21.94285714,7
7085be79,Unknown,AJ Woodcock,AJ Woodcock,Right-hand bat,,,7
8b806dd0,Allrounder,AK Davidson,AK Davidson,Left-hand bat,Left-arm fast-medium,,8
e3a82282,Unknown,AJY Hopkins,AJY Hopkins,Right-hand bat,Right-arm fast-medium,,7
83558266,Allrounder,A King,A King,Right-hand bat,Legbreak,18.45798319,7
78ba5d1b,Bowler,AK Heal,AK Heal,Left-hand bat,Slow left-arm orthodox,8.666666667,7
de412f40,Unknown,AK Wilds,AK Wilds,,,,7
2c772c89,Unknown,A Kovalevs,A Kovalevs,,,,6
ba0a8d88,Middle-order batter,A Lanning,A Lanning,Right-hand bat,Right-arm offbreak,6.070175439,7
1757bedf,Middle-order batter,A Learoyd,A Learoyd,Right-hand bat,Legbreak,7.123287671,7
795ff893,Middle-order batter,AL Edgar,AL Edgar,,,14.74736842,7
029c4618,Bowler,AL Fekete,AL Fekete,Right-hand bat,Right-arm fast-medium,23.59259259,7
668d33d5,Unknown,AL Hassett,AL Hassett,Right-hand bat,Right-arm medium,,7
4e6970be,Allrounder,AL Mann,AL Mann,Left-hand bat,Legbreak googly,,6
1e3117d5,Unknown,AL Thomson,AL Thomson,Right-hand bat,Right-arm fast-medium,,7
d405c0d5,Allrounder,AM Hardie,AM Hardie,Right-hand bat,Right-arm medium-fast,28.71369295,8
6093e54d,Opening batter,AMJ Hilditch,AMJ Hilditch,Right-hand bat,Right-arm medium,,7
a687690c,Bowler,AN Connolly,AN Connolly,Right-hand bat,Right-arm fast-medium,,8
00d07580,Unknown,Andrew Crozier,Andrew Crozier,,,,6
32c53327,Unknown,Andrew Scotford,Andrew Scotford,,,,8
397cf8e4,Unknown,Anthony Hobson,Anthony Hobson,,,,8
8f559207,Unknown,A Kripal Singh,A Kripal Singh,Right-hand bat,Right-arm medium,,7
22c2e797,Unknown,AP Marr,AP Marr,Right-hand bat,Right-arm medium,,6
b6160c58,Opening batter,AP Sheahan,AP Sheahan,Right-hand bat,,,6
99e26cea,Bowler,A Price,A Price,Right-hand bat,Right-arm medium,8.505050505,7
196a3809,Unknown,AP Ward,AP Ward,Right-hand bat,Right-arm medium,,6
d1f23acb,Unknown,A Pyecroft,A Pyecroft,Right-hand bat,Right-arm medium,46.11111111,8
bb1c1950,Unknown,AR Beadle,AR Beadle,Left-hand bat,Slow left-arm orthodox,7.333333333,7
9a17b338,Middle-order batter,AR Border,AR Border,Left-hand bat,Slow left-arm orthodox,,8
11515742,Batter,AR Collins,AR Collins,Right-hand bat,,,8
8af0bfa4,Unknown,AR Craig,AR Craig,Right-hand bat,Right-arm slow-medium,,7
ddc597bd,Allrounder,AR Crook,AR Crook,Right-hand bat,Right-arm offbreak,,7
aa007431,Unknown,AR Dell,AR Dell,Right-hand bat,Left-arm fast-medium,,7
6ad80fb0,Unknown,AR Griffith,AR Griffith,Right-hand bat,Right-arm fast-medium,,8
95d26c59,Unknown,AR Hamilton,AR Hamilton,Right-hand bat,Right-arm medium,,6
439083c2,Unknown,AR Keath,AR Keath,Right-hand bat,Right-arm medium,2.25,7
13781d43,Allrounder,AR Reakes,AR Reakes,Right-hand bat,Legbreak googly,6.3046875,7
fa1bc15e,Unknown,AR Morris,AR Morris,Left-hand bat,Left-arm wrist-spin,,6
fe5f83da,Unknown,Ashton Taylor,Ashton Taylor,,,,6
b81712f7,Unknown,Ashlee Gibbons,Ashlee Gibbons,,,,6
b125ce63,Bowling allrounder,A Smith,A Smith,Right-hand bat,Legbreak,10.68421053,7
65d9b6b6,Allrounder,A Sutherland,A Sutherland,Right-hand bat,Right-arm medium-fast,19.67976424,7
bd77eb62,Allrounder,A Symonds,A Symonds,,,25.88224299,7
c5fcbb3a,Unknown,A Tett,A Tett,Right-hand bat,Right-arm medium,,7
69d03465,Wicketkeeper batter,AT Carey,AT Carey,Left-hand bat,,28.86842105,8
1ea5598c,Unknown,A Turner,A Turner,Left-hand bat,,,8
9b3bcca4,Bowler,A Wellington,A Wellington,Right-hand bat,Legbreak,19.20134228,7
2f740219,Wicketkeeper batter,ATW Grout,ATW Grout,Right-hand bat,,,7
d29be810,Unknown,AW O'Brien,AW O'Brien,Left-hand bat,Slow left-arm orthodox,13.4,7
7001dee4,Unknown,AW Robinson,AW Robinson,Left-hand bat,Right-arm medium,13.1,7
a35c119e,Unknown,AW Summers,AW Summers,Right-hand bat,Right-arm fast,1.333333333,7
f41c1218,Unknown,A Yates,A Yates,,,3.181818182,7
14f96089,Bowler,A Zampa,A Zampa,Right-hand bat,Legbreak googly,20.77904328,7
16f4b44d,Unknown,BA Barnett,BA Barnett,Left-hand bat,,,6
59c2e9f0,Bowler,BA Reid,BA Reid,Left-hand bat,Left-arm fast-medium,,8
953e3931,Bowler,BA Williams,BA Williams,Right-hand bat,Right-arm fast,33.36956522,8
72e4ba13,Unknown,B Bennett,B Bennett,Left-hand bat,Right-arm medium,,8
12e18174,Unknown,BB Cooper,BB Cooper,Right-hand bat,,,6
fc14c2bb,Bowler,B Casson,B Casson,Right-hand bat,Left-arm wrist-spin,51.33333333,8
e663d8d7,Bowler,BC Binch,BC Binch,Right-hand bat,Right-arm medium,10.66666667,7
13da3a31,Middle-order batter,BC Booth,BC Booth,,,,6
4d748b6a,Unknown,BC Floros,BC Floros,,Right-arm fast,33.5,8
04895c21,Unknown,BC Francis,BC Francis,Right-hand bat,Right-arm medium,,6
f7e8ee52,Unknown,BC Treloar,BC Treloar,,,,6
2e11c706,Allrounder,BCJ Cutting,BCJ Cutting,Right-hand bat,Right-arm fast-medium,14.00669643,7
28147cdc,Middle-order batter,BD Macdonald,BD Macdonald,Right-hand bat,Right-arm medium,24.75,7
898e628d,Bowler,B Doggett,B Doggett,Right-hand bat,Right-arm fast-medium,42.66071429,8
91384b5d,Unknown,B Dooland,B Dooland,Right-hand bat,Legbreak googly,,6
14fb95ae,Unknown,Bede Sajowitz,Bede Sajowitz,,,,6
6d62117a,Bowler,BE McGain,BE McGain,Right-hand bat,Legbreak googly,6.888888889,7
7dfbcfff,Batter,BE Patterson,BE Patterson,Right-hand bat,Right-arm fast,11.39737991,7
b0b8fec6,Unknown,Berend du Plessis,Berend du Plessis,,,,6
3d4ad40e,Batter,BE Street,BE Street,Left-hand bat,Right-arm medium,29.54545455,8
278fd5ff,Bowler,BE Young,BE Young,Right-hand bat,Slow left-arm orthodox,16.5,7
7d399085,Unknown,B Farrell,B Farrell,,,,6
751f4b9b,Bowler,BG Drew,BG Drew,Right-hand bat,Right-arm fast-medium,19.16666667,7
50758325,Bowler,B Geeves,B Geeves,Right-hand bat,Right-arm fast-medium,20.54545455,7
0a3049c5,Unknown,BG McDonald,BG McDonald,Left-hand bat,Legbreak googly,12.5,7
df04fc4f,Bowler,B Hepburn,B Hepburn,Right-hand bat,Right-arm medium,10.57272727,7
124b57a7,Unknown,BJ Clark,BJ Clark,Right-hand bat,Right-arm offbreak,12.75,7
e1b9f3a9,Bowler,BJ Dwarshuis,BJ Dwarshuis,Left-hand bat,Left-arm fast-medium,21.12420382,7
b0c772ee,Wicketkeeper batter,BJ Haddin,BJ Haddin,Right-hand bat,,27.03784861,7
b57f8a9a,Top-order batter,BJ Hodge,BJ Hodge,Right-hand bat,Right-arm offbreak,18.08845209,7
27af6414,Middle-order batter,BJ Rohrer,BJ Rohrer,Left-hand bat,,12.94029851,7
